header_id;otu_number;silva_taxonomy;;;;;
OTU_50707;OTU_50703;Eukaryota(100);Opisthokonta(99.9);Holozoa(99.9);Metazoa(99.9);Animalia(99.9);Arthropoda(52.8)
OTU_50701;OTU_50697;Eukaryota(99.5);SAR(66.9);Stramenopiles(56.3);MAST-3(15.5);MAST-3E(12.8);unclassified
OTU_9129;OTU_9128;Eukaryota(100);SAR(100);Stramenopiles(100);Ochrophyta(99.9);Raphidophyceae(99);Heterosigma(94.3)
OTU_9128;OTU_9127;Eukaryota(100);SAR(65.3);Rhizaria(32.6);Cercozoa(32.6);Incertae_Sedis(32.2);Gymnophrys(32.2)
OTU_6629;OTU_6628;Eukaryota(100);SAR(99.4);Alveolata(97.4);Dinoflagellata(89.3);Dinophyceae(84.8);Gymnodiniphycidae(49.2)
OTU_43449;OTU_43446;Eukaryota(100);SAR(99.5);Stramenopiles(99.5);Ochrophyta(99.4);Dictyochophyceae(95.6);Dictyochales(95.4)
OTU_43448;OTU_43445;Eukaryota(100);SAR(69.2);Stramenopiles(63.7);Peronosporomycetes(10.5);Aplanopsis(3.1);unclassified
OTU_9121;OTU_9120;Eukaryota(100);SAR(100);Stramenopiles(99.9);Ochrophyta(99.7);Raphidophyceae(99);Heterosigma(93)
OTU_9120;OTU_9119;Eukaryota(100);Archaeplastida(52.7);Chloroplastida(52.7);Chlorophyta(52);Prasinophytae(52);shizugawa(43.5)
OTU_9123;OTU_9122;Eukaryota(100);SAR(99.6);Stramenopiles(75);Ochrophyta(74.5);Raphidophyceae(73.4);Heterosigma(70.8)
OTU_9122;OTU_9121;Eukaryota(100);SAR(100);Stramenopiles(100);Ochrophyta(100);Raphidophyceae(99.8);Heterosigma(93.2)
OTU_9125;OTU_9124;Eukaryota(100);Archaeplastida(58.5);Chloroplastida(58.5);Chlorophyta(54.4);Chlorophyceae(37.8);Characiochloris(11.1)
OTU_9124;OTU_9123;Eukaryota(100);SAR(97.6);Stramenopiles(68.1);Ochrophyta(67.9);Raphidophyceae(67.7);Heterosigma(65.8)
OTU_9127;OTU_9126;Eukaryota(100);SAR(99.5);Stramenopiles(87.6);Ochrophyta(87.2);Raphidophyceae(85.6);Heterosigma(82.7)
OTU_9126;OTU_9125;Eukaryota(100);SAR(100);Stramenopiles(99.9);Ochrophyta(99.6);Raphidophyceae(88.8);Heterosigma(85.5)
OTU_32458;OTU_32455;Eukaryota(100);SAR(97.6);Rhizaria(82.9);Cercozoa(82.9);Incertae_Sedis(73.5);Gymnophrys(73.5)
OTU_32459;OTU_32456;Eukaryota(100);SAR(99.9);Alveolata(98.3);Dinoflagellata(92.6);Dinophyceae(90.9);Gymnodiniphycidae(63.8)
OTU_35488;OTU_35485;Eukaryota(99.9);SAR(68.5);Stramenopiles(60.4);Ochrophyta(55.1);Pinguiochrysidales(25.1);Polypodochrysis(18.4)
OTU_35489;OTU_35486;Eukaryota(100);SAR(92.3);Alveolata(89.6);Dinoflagellata(71.5);Dinophyceae(65.2);Peridiniphycidae(28.2)
OTU_32454;OTU_32451;Eukaryota(100);SAR(82.9);Alveolata(77.2);Dinoflagellata(64.5);Dinophyceae(59.8);Gymnodiniphycidae(34.3)
OTU_32455;OTU_32452;Eukaryota(100);Opisthokonta(51.7);Holozoa(51.5);Metazoa(51.5);Animalia(51.5);Arthropoda(44.1)
OTU_32456;OTU_32453;Eukaryota(100);SAR(82.6);Alveolata(82);Protalveolata(80.8);Syndiniales(80.7);Syndiniales_Group_II(42.8)
OTU_32457;OTU_32454;Eukaryota(100);Archaeplastida(91.2);Chloroplastida(90.9);Chlorophyta(89.5);Chlorodendrales(50.9);Scherffelia(47.7)
OTU_32450;OTU_32447;Eukaryota(100);SAR(92.7);Stramenopiles(87.7);Ochrophyta(86.8);Diatomea(70.4);Bacillariophytina(53.5)
OTU_32451;OTU_32448;Eukaryota(100);Haptophyta(80.9);Prymnesiophyceae(80.1);Prymnesiales(75.8);Chrysochromulina(50.2);unclassified
OTU_32452;OTU_32449;Eukaryota(100);Archaeplastida(84.8);Chloroplastida(84.8);Chlorophyta(83.1);Mamiellophyceae(79.8);Micromonas(69.1)
OTU_32453;OTU_32450;Eukaryota(100);SAR(87);Alveolata(86.2);Ciliophora(85.2);Intramacronucleata(85.1);Spirotrichea(84.9)
OTU_45135;OTU_45131;Eukaryota(100);SAR(99.6);Alveolata(99.6);Ciliophora(98.5);Intramacronucleata(98.5);Spirotrichea(98.5)
OTU_45134;OTU_45130;Eukaryota(100);SAR(94.4);Alveolata(93.4);Protalveolata(91.4);Perkinsidae(86.4);A31(79.8)
OTU_45137;OTU_45133;Eukaryota(100);SAR(74.8);Alveolata(69.3);Dinoflagellata(56.8);Dinophyceae(37.3);CCMP1878(9.1)
OTU_45136;OTU_45132;Eukaryota(100);SAR(99.7);Alveolata(99.5);Dinoflagellata(76.7);Dinophyceae(72.7);Peridiniphycidae(38.2)
OTU_45131;OTU_45127;Eukaryota(98);Archaeplastida(33.2);Chloroplastida(28.3);Chlorophyta(28.3);Trebouxiophyceae(22.8);Muriella(16.4)
OTU_45130;OTU_45126;Eukaryota(99.9);SAR(79.4);Alveolata(73.7);M2-18H10(11.8);unclassified;unclassified
OTU_45133;OTU_45129;Eukaryota(100);SAR(85.5);Stramenopiles(53.8);MAST-12(4.7);MAST-12A(4.7);unclassified
OTU_45132;OTU_45128;Eukaryota(100);SAR(95.1);Alveolata(81.7);Protalveolata(45.8);Syndiniales(43.7);Syndiniales_Group_II(39.2)
OTU_45139;OTU_45135;Eukaryota(100);SAR(99.8);Stramenopiles(97);Ochrophyta(87.7);Dictyochophyceae(68.8);Pedinellales(63.3)
OTU_45138;OTU_45134;Eukaryota(100);SAR(98.9);Stramenopiles(95.9);Ochrophyta(90.6);Diatomea(85.2);Bacillariophytina(66.4)
OTU_35426;OTU_35423;Eukaryota(99.4);Opisthokonta(62.5);Holozoa(62.4);Metazoa(61.7);Animalia(61.7);Arthropoda(55.5)
OTU_52262;OTU_52258;Eukaryota(100);SAR(97.4);Stramenopiles(80.5);Peronosporomycetes(77);Olpidiopsis(21.6);unclassified
OTU_35427;OTU_35424;Eukaryota(100);SAR(75.3);Alveolata(67);Dinoflagellata(37.6);Dinophyceae(29.6);BAQK03(13.4)
OTU_33509;OTU_33506;Eukaryota(99.6);SAR(62.5);Stramenopiles(46);Ochrophyta(32.8);Pinguiochrysidales(15.4);Glossomastix(3.9)
OTU_33508;OTU_33505;Eukaryota(100);SAR(92.5);Stramenopiles(90.7);Incertae_Sedis(42.6);Pirsonia(42.6);unclassified
OTU_33501;OTU_33498;Eukaryota(100);SAR(93.5);Rhizaria(48.2);Cercozoa(48.2);Thecofilosea(20.6);Cryomonadida(20.6)
OTU_33500;OTU_33497;Eukaryota(100);SAR(98.6);Alveolata(59);Dinoflagellata(53.8);Dinophyceae(52.6);Prorocentrales(21.8)
OTU_33503;OTU_33500;Eukaryota(100);SAR(99);Alveolata(68.3);Dinoflagellata(55.8);Dinophyceae(44.9);Prorocentrales(20.6)
OTU_33502;OTU_33499;Eukaryota(99.1);Opisthokonta(68.4);Holozoa(68.4);Metazoa(68.4);Animalia(68.4);Arthropoda(64.2)
OTU_33505;OTU_33502;Eukaryota(100);Archaeplastida(77.8);Chloroplastida(77.7);Chlorophyta(77.7);Mamiellophyceae(53);Micromonas(28)
OTU_33504;OTU_33501;Eukaryota(100);SAR(99.8);Stramenopiles(99.4);Ochrophyta(99);Diatomea(78.9);Bacillariophytina(78.6)
OTU_33507;OTU_33504;Eukaryota(100);Archaeplastida(38.9);Chloroplastida(38.8);Chlorophyta(37.7);Mamiellophyceae(27.8);Ostreococcus(26.8)
OTU_33506;OTU_33503;Eukaryota(100);SAR(85.7);Alveolata(83.4);Ciliophora(71.8);Intramacronucleata(71.8);Spirotrichea(70.2)
OTU_41640;OTU_41637;Eukaryota(100);SAR(99.8);Stramenopiles(98.8);Ochrophyta(98.4);Chrysophyceae(88.4);CCI40(33.5)
OTU_51043;OTU_51039;Eukaryota(100);SAR(92.2);Stramenopiles(87.1);Ochrophyta(79.7);Bolidomonas(15.7);unclassified
OTU_51045;OTU_51041;Eukaryota(100);SAR(87.3);Stramenopiles(82.1);Ochrophyta(79.7);Diatomea(59.7);Bacillariophytina(54.3)
OTU_36362;OTU_36359;Eukaryota(100);SAR(98.7);Alveolata(98.1);Ciliophora(97.9);Intramacronucleata(97.9);Spirotrichea(97.9)
OTU_36363;OTU_36360;Eukaryota(100);Opisthokonta(98.3);Holozoa(98.3);Metazoa(98.3);Animalia(98.2);Annelida(38)
OTU_35422;OTU_35419;Eukaryota(100);SAR(94.1);Alveolata(93.3);Ciliophora(88.7);Intramacronucleata(88.7);Spirotrichea(88.6)
OTU_36361;OTU_36358;Eukaryota(100);SAR(100);Stramenopiles(99.8);Ochrophyta(94.8);Dictyochophyceae(84);Pedinellales(84)
OTU_36366;OTU_36363;Eukaryota(100);SAR(93.1);Alveolata(73.2);Ciliophora(72.4);Intramacronucleata(72.4);Spirotrichea(71.8)
OTU_36367;OTU_36364;Eukaryota(99.9);SAR(79.2);Stramenopiles(68.1);Peronosporomycetes(13.8);Halophytophthora(6.6);unclassified
OTU_3958;OTU_3957;Eukaryota(100);Opisthokonta(44.7);Holozoa(42.9);Metazoa(42.8);Animalia(42.8);Arthropoda(37.9)
OTU_3959;OTU_3958;Eukaryota(100);SA1-3C06(17);unclassified;unclassified;unclassified;unclassified
OTU_3956;OTU_3955;Eukaryota(100);SAR(81.3);Alveolata(56.1);Dinoflagellata(33.4);Dinophyceae(31.6);Peridiniphycidae(29.3)
OTU_3957;OTU_3956;Eukaryota(100);SAR(99.9);Stramenopiles(99.9);Ochrophyta(99.9);Dictyochophyceae(99.6);Dictyochales(99.6)
OTU_3954;OTU_3953;Eukaryota(99.3);Opisthokonta(70.1);Holozoa(70);Metazoa(69.1);Animalia(69.1);Arthropoda(66.5)
OTU_3955;OTU_3954;Eukaryota(100);Archaeplastida(99.7);Chloroplastida(99.7);Chlorophyta(99.7);Mamiellophyceae(96.5);Ostreococcus(64.3)
OTU_3952;OTU_3951;Eukaryota(100);Cryptophyceae(98);Cryptomonadales(97.9);Teleaulax(82.5);unclassified;unclassified
OTU_3953;OTU_3952;Eukaryota(99.8);SAR(83.2);Alveolata(66.8);Dinoflagellata(60);Incertae_Sedis(27.1);Paulsenella(25.9)
OTU_3950;OTU_3949;Eukaryota(100);SAR(99.7);Alveolata(93.9);Dinoflagellata(92.8);Dinophyceae(88.8);SCM16C67(67.7)
OTU_3951;OTU_3950;Eukaryota(100);Opisthokonta(84.5);Holozoa(84.3);Metazoa(84);Animalia(83.8);Ctenophora(83.8)
OTU_51049;OTU_51045;Eukaryota(100);SAR(98.7);Alveolata(96.2);Dinoflagellata(77.2);Dinophyceae(66.6);Gymnodiniphycidae(32)
OTU_50389;OTU_50385;Eukaryota(99.7);SAR(89);Stramenopiles(84.4);Ochrophyta(76.6);Diatomea(71.7);Bacillariophytina(71.6)
OTU_6209;OTU_6208;Eukaryota(100);SAR(99.8);Stramenopiles(94.2);Ochrophyta(93.5);Diatomea(87.3);Bacillariophytina(52)
OTU_6208;OTU_6207;Eukaryota(100);Opisthokonta(96.1);Holozoa(95.8);Choanomonada(95.8);Acanthoecida(93.1);Stephanoecidae(90.3)
OTU_6201;OTU_6200;Eukaryota(100);Cryptophyceae(79.9);Cryptomonadales(79.9);Guillardia(50.9);unclassified;unclassified
OTU_6200;OTU_6199;Eukaryota(100);Haptophyta(99.8);Prymnesiophyceae(99.8);Phaeocystis(98.9);unclassified;unclassified
OTU_6203;OTU_6202;Eukaryota(100);SAR(98.9);Alveolata(98.9);Ciliophora(98.9);Intramacronucleata(98.9);Spirotrichea(98.8)
OTU_6202;OTU_6201;Eukaryota(100);SAR(89.3);Stramenopiles(57);MAST-2(35.8);unclassified;unclassified
OTU_6205;OTU_6204;Eukaryota(100);Excavata(100);Discoba(100);Discicristata(100);Euglenozoa(100);Kinetoplastea(100)
OTU_6204;OTU_6203;Eukaryota(100);Opisthokonta(99.2);Holozoa(99.2);Metazoa(99.2);Animalia(99.2);Arthropoda(93.5)
OTU_6207;OTU_6206;Eukaryota(100);SAR(98.8);Alveolata(98.4);Dinoflagellata(95.2);Dinophyceae(94.7);BAQK03(47)
OTU_6206;OTU_6205;Eukaryota(100);SAR(65.2);Alveolata(54.7);Ciliophora(53.8);Intramacronucleata(53.8);Conthreep(53.8)
OTU_46088;OTU_46084;Eukaryota(99.9);Archaeplastida(72.5);Chloroplastida(71.3);Chlorophyta(58.6);Clade_VII(35.2);Subclade_A(35.2)
OTU_46089;OTU_46085;Eukaryota(99.9);Archaeplastida(32.1);Chloroplastida(23.9);Chlorophyta(22.5);Trebouxiophyceae(19);Picochlorum(6.2)
OTU_35958;OTU_35955;Eukaryota(100);SAR(78.2);Alveolata(70.1);Dinoflagellata(67);Dinophyceae(63.5);Peridiniphycidae(60.8)
OTU_35959;OTU_35956;Eukaryota(100);Archaeplastida(66.1);Chloroplastida(66);Chlorophyta(62.3);Prasinophytae(56.5);Pyramimonas(46.2)
OTU_48313;OTU_48309;Eukaryota(100);SAR(70.1);Stramenopiles(50.3);MAST-6(9.2);unclassified;unclassified
OTU_46084;OTU_46080;Eukaryota(100);SAR(99.4);Stramenopiles(98.6);Ochrophyta(98.6);Diatomea(96.4);Bacillariophytina(82.5)
OTU_46085;OTU_46081;Eukaryota(99.9);SAR(48.1);Alveolata(41.3);Ciliophora(38.9);Intramacronucleata(38.9);Spirotrichea(38.5)
OTU_19864;OTU_19863;Eukaryota(100);Haptophyta(99);Prymnesiophyceae(97.8);Prymnesiales(85.3);Braarudosphaera(66.3);unclassified
OTU_19523;OTU_19522;Eukaryota(100);Opisthokonta(83);Holozoa(83);Choanomonada(82.2);Acanthoecida(74.8);Stephanoecidae(74.6)
OTU_15159;OTU_15158;Eukaryota(100);Archaeplastida(95.1);Chloroplastida(95);Chlorophyta(94.7);Mamiellophyceae(88.2);Micromonas(57.8)
OTU_19522;OTU_19521;Eukaryota(100);SAR(95.5);Alveolata(94.7);Protalveolata(90.7);Syndiniales(90.7);Syndiniales_Group_II(90)
OTU_19521;OTU_19520;Eukaryota(100);SAR(71.6);Stramenopiles(66.4);Ochrophyta(65.1);Diatomea(63.3);Bacillariophytina(55)
OTU_19520;OTU_19519;Eukaryota(100);SAR(99.8);Alveolata(99.8);Dinoflagellata(66.8);Dinophyceae(66.4);Peridiniphycidae(51.1)
OTU_39169;OTU_39166;Eukaryota(100);SAR(91.6);Alveolata(52.9);Dinoflagellata(43.8);Dinophyceae(40.2);CCMP1878(3.9)
OTU_19527;OTU_19526;Eukaryota(99.7);Opisthokonta(68.9);Holozoa(68.6);Metazoa(66.2);Animalia(66.2);Arthropoda(58.8)
OTU_12007;OTU_12006;Eukaryota(100);SAR(78.6);Stramenopiles(24.8);MAST-2(6.5);unclassified;unclassified
OTU_12314;OTU_12313;Eukaryota(100);SAR(99.4);Alveolata(99.3);Dinoflagellata(74.2);Dinophyceae(61.7);Peridiniphycidae(31.2)
OTU_20592;OTU_20591;Eukaryota(100);SAR(99.5);Alveolata(99.5);Dinoflagellata(98.4);Dinophyceae(86.5);SCM15C35(39.7)
OTU_20593;OTU_20592;Eukaryota(100);SAR(97.1);Alveolata(96.8);Dinoflagellata(53.4);Incertae_Sedis(19.8);Blastodinium(18.4)
OTU_20590;OTU_20589;Eukaryota(100);SAR(88);Alveolata(87.3);Dinoflagellata(75.2);Dinophyceae(62.1);SL163A10(22)
OTU_20591;OTU_20590;Eukaryota(100);SAR(66.3);Rhizaria(17.9);Cercozoa(17.8);Imbricatea(12.6);Marimonadida(12.6)
OTU_20596;OTU_20595;Eukaryota(100);SAR(74.9);Alveolata(62.5);Protalveolata(60.7);Syndiniales(59.2);Amoebophrya(56.9)
OTU_19525;OTU_19524;Eukaryota(100);SAR(90.5);Stramenopiles(53.2);Peronosporomycetes(21.1);Achlya(2.2);unclassified
OTU_20594;OTU_20593;Eukaryota(100);SAR(64.6);Stramenopiles(64.6);Ochrophyta(63.2);Dictyochophyceae(62.6);Dictyochales(62.6)
OTU_20595;OTU_20594;Eukaryota(99.9);Opisthokonta(80.8);Holozoa(80.6);Metazoa(80.6);Animalia(80.6);Mollusca(57)
OTU_31833;OTU_31830;Eukaryota(100);SAR(57.9);Alveolata(51.2);Ciliophora(50.1);Intramacronucleata(50.1);Spirotrichea(48.5)
OTU_31832;OTU_31829;Eukaryota(100);SAR(85.6);Stramenopiles(84.4);Ochrophyta(71.8);Dictyochophyceae(54.9);Pedinellales(52.6)
OTU_20598;OTU_20597;Eukaryota(100);SAR(99.7);Stramenopiles(97.3);Ochrophyta(94.4);Chrysophyceae(90.7);Hibberdiales(49.5)
OTU_20599;OTU_20598;Eukaryota(100);Archaeplastida(53.2);Chloroplastida(52.2);Chlorophyta(52);Mamiellophyceae(29.3);Mamiella(7.4)
OTU_31837;OTU_31834;Eukaryota(100);SAR(85);Alveolata(74.2);Dinoflagellata(54.8);Dinophyceae(48.5);Peridiniphycidae(39.5)
OTU_31836;OTU_31833;Eukaryota(100);SAR(73.2);Alveolata(72.9);Dinoflagellata(54.4);Incertae_Sedis(41.4);Paulsenella(27.1)
OTU_31835;OTU_31832;Eukaryota(100);SAR(96.6);Alveolata(93.2);M2-18H10(74.4);unclassified;unclassified
OTU_27314;OTU_27312;Eukaryota(99.6);SAR(69.6);Alveolata(31.6);BOLA914(19.7);unclassified;unclassified
OTU_35109;OTU_35106;Eukaryota(99.5);Opisthokonta(73);Holozoa(73);Metazoa(72.7);Animalia(72.7);Arthropoda(71.5)
OTU_35108;OTU_35105;Eukaryota(100);Opisthokonta(86.3);Holozoa(86.2);Metazoa(85.3);Animalia(85.3);Arthropoda(46.1)
OTU_39168;OTU_39165;Eukaryota(100);SAR(97);Alveolata(96.7);Dinoflagellata(74.4);Dinophyceae(70.5);Peridiniphycidae(36.3)
OTU_35103;OTU_35100;Eukaryota(100);SAR(97.8);Alveolata(97.3);Dinoflagellata(76.4);Incertae_Sedis(45.4);Paulsenella(38.1)
OTU_35102;OTU_35099;Eukaryota(99.9);SAR(64);Alveolata(53.4);Ciliophora(53.4);Intramacronucleata(53.3);Spirotrichea(53.3)
OTU_35101;OTU_35098;Eukaryota(100);Archaeplastida(71.5);Chloroplastida(71);Chlorophyta(66.4);Prasinophytae(44.1);shizugawa(37.7)
OTU_35100;OTU_35097;Eukaryota(100);SAR(99.8);Alveolata(99.1);M2-18H10(22.3);unclassified;unclassified
OTU_35107;OTU_35104;Eukaryota(99.7);SAR(82.8);Alveolata(75.6);M2-18H10(10.6);unclassified;unclassified
OTU_35106;OTU_35103;Eukaryota(100);Archaeplastida(68);Chloroplastida(68);Charophyta(48.1);Phragmoplastophyta(47.9);Streptophyta(46.5)
OTU_35105;OTU_35102;Eukaryota(99.7);SAR(57.9);Alveolata(46.5);Ciliophora(45.4);Intramacronucleata(44.9);Spirotrichea(44.6)
OTU_35104;OTU_35101;Eukaryota(100);Opisthokonta(53.5);Holozoa(53.3);Metazoa(52.5);Animalia(52.5);Arthropoda(42.8)
OTU_19868;OTU_19867;Eukaryota(100);SAR(60.8);Alveolata(54);Dinoflagellata(23.1);Incertae_Sedis(5.9);Paulsenella(3.6)
OTU_19869;OTU_19868;Eukaryota(100);Opisthokonta(97.7);Holozoa(97.7);Metazoa(97.6);Animalia(97.6);Arthropoda(94.2)
OTU_44846;OTU_44843;Eukaryota(100);Opisthokonta(69.6);Holozoa(61.9);Metazoa(61.6);Animalia(59.3);Arthropoda(38.4)
OTU_38285;OTU_38282;Eukaryota(100);SAR(71.7);Rhizaria(30.3);Cercozoa(30.3);Thecofilosea(19.9);Cryomonadida(19.9)
OTU_10508;OTU_10507;Eukaryota(100);SAR(99.9);Stramenopiles(99.3);Ochrophyta(97.8);Raphidophyceae(85.8);Heterosigma(46.4)
OTU_519;OTU_519;Eukaryota(94.7);SAR(31.4);Stramenopiles(22.6);Labyrinthulomycetes(10.5);Thraustochytriaceae(10.5);Thraustochytrium(9)
OTU_25048;OTU_25046;Eukaryota(95.5);Archaeplastida(51.9);Chloroplastida(40.8);Chlorophyta(40.8);Trebouxiophyceae(31.4);Pabia(21.2)
OTU_44847;OTU_44844;Eukaryota(100);SAR(83);Alveolata(76.6);Protalveolata(68.6);Syndiniales(68.1);Syndiniales_Group_II(63)
OTU_24755;OTU_24753;Eukaryota(100);SAR(98.8);Stramenopiles(97.4);Ochrophyta(97.1);Dictyochophyceae(91.2);Dictyochales(69.2)
